UserID,Age,Gender,Country,SubscriptionStatus,TotalWatchTime,Device,Rating_Status
SF_1099,49,M,UK,Subscriber,96,Smart TV,Rater
SF_11,60,F,India,Free,145,Smart TV,Rater
SF_110,40,M,France,Free,296,Mobile,Rater
SF_1100,57,M,UK,Subscriber,131,Tablet,Rater
SF_1101,38,M,UK,Free,79,Desktop,Rater
SF_1102,43,M,Canada,Subscriber,379,Desktop,Rater
SF_1103,59,F,USA,Free,105,Tablet,Rater
SF_1104,29,M,France,Subscriber,146,Mobile,Rater
SF_1105,22,M,Canada,Subscriber,116,Desktop,Rater
SF_1108,51,M,UK,Free,281,Desktop,Rater
SF_1109,44,M,Canada,Free,425,Tablet,Rater
SF_111,20,M,Canada,Subscriber,453,Smart TV,Rater
SF_1110,46,F,USA,Subscriber,246,Mobile,Rater
SF_1111,14,F,Canada,Free,148,Tablet,Rater
SF_1112,63,M,Italy,Free,206,Desktop,Rater
SF_1113,11,M,Italy,Subscriber,444,Mobile,Rater
SF_1114,58,F,France,Subscriber,31,Smart TV,Rater
SF_1115,28,F,UK,Free,356,Tablet,Rater
SF_1118,35,M,Italy,Free,196,Mobile,Rater
SF_1119,57,M,Italy,Free,145,Smart TV,Rater
SF_112,24,M,UK,Free,90,Tablet,Rater
SF_1120,53,M,France,Subscriber,61,Mobile,Rater
SF_1121,32,M,Italy,Free,256,Smart TV,Rater
SF_1122,10,M,France,Free,319,Mobile,Rater
SF_1123,37,M,Canada,Subscriber,16,Desktop,Rater
SF_1124,16,M,India,Free,43,Mobile,Rater
SF_1125,65,F,Italy,Subscriber,340,Tablet,Rater
SF_1126,61,M,Italy,Subscriber,356,Smart TV,Rater
SF_1127,48,M,India,Free,275,Mobile,Rater
SF_1128,31,M,Canada,Free,271,Tablet,Rater
SF_1129,9,M,UK,Free,136,Smart TV,Rater
SF_113,12,M,USA,Free,33,Smart TV,Rater
SF_1130,43,M,Canada,Subscriber,360,Smart TV,Rater
SF_1132,42,M,UK,Free,446,Mobile,Rater
SF_1133,44,M,UK,Subscriber,207,Mobile,Rater
SF_1134,61,M,USA,Free,128,Tablet,Rater
SF_1135,9,M,Italy,Free,98,Desktop,Rater
SF_1136,14,F,Canada,Subscriber,272,Tablet,Rater
SF_1137,22,M,UK,Subscriber,71,Smart TV,Rater
SF_1138,44,M,India,Subscriber,317,Mobile,Rater
SF_1140,31,F,India,Free,331,Mobile,Rater
SF_1141,36,F,USA,Free,227,Tablet,Rater
SF_1142,52,M,India,Free,369,Desktop,Rater
SF_1143,58,M,Canada,Free,31,Mobile,Rater
SF_1144,26,M,USA,Free,405,Tablet,Rater
SF_1146,34,F,France,Free,251,Smart TV,Rater
SF_1147,63,M,India,Free,448,Mobile,Rater
SF_1148,42,M,USA,Free,129,Tablet,Rater
SF_1149,36,M,Canada,Free,345,Desktop,Rater
SF_115,33,M,India,Free,175,Smart TV,Rater
SF_1151,44,M,France,Free,380,Tablet,Rater
SF_1152,38,M,India,Subscriber,268,Mobile,Rater
SF_1153,40,M,USA,Subscriber,254,Mobile,Rater
SF_1154,14,F,Italy,Free,406,Desktop,Rater
SF_1155,26,M,Italy,Free,358,Tablet,Rater
SF_1157,42,M,France,Free,218,Desktop,Rater
SF_1158,24,F,France,Subscriber,412,Desktop,Rater
SF_1159,36,M,Italy,Subscriber,63,Tablet,Rater
SF_116,26,M,Italy,Free,32,Smart TV,Rater
SF_1160,54,M,Canada,Free,466,Tablet,Rater
SF_1161,45,M,Canada,Subscriber,115,Tablet,Rater
SF_1162,59,F,India,Free,127,Desktop,Rater
SF_1164,45,F,France,Subscriber,256,Desktop,Rater
SF_1167,12,F,Italy,Subscriber,52,Desktop,Rater
SF_1168,12,F,India,Subscriber,244,Desktop,Rater
SF_1169,34,M,Italy,Free,133,Smart TV,Rater
SF_117,35,M,Italy,Free,412,Mobile,Rater
SF_1170,11,M,Canada,Subscriber,120,Desktop,Rater
SF_1171,9,M,UK,Free,218,Desktop,Rater
SF_1172,33,F,France,Free,433,Mobile,Rater
SF_1173,55,F,Canada,Free,460,Smart TV,Rater
SF_1174,32,F,UK,Subscriber,112,Tablet,Rater
SF_1176,36,M,USA,Subscriber,276,Mobile,Rater
SF_1178,53,M,USA,Free,77,Mobile,Rater
SF_1179,50,M,Canada,Subscriber,359,Mobile,Rater
SF_118,51,M,UK,Subscriber,255,Mobile,Rater
SF_1180,59,F,France,Free,499,Smart TV,Rater
SF_1181,60,M,Canada,Subscriber,481,Smart TV,Rater
SF_1182,12,M,France,Subscriber,392,Desktop,Rater
SF_1184,63,F,France,Subscriber,38,Tablet,Rater
SF_1185,18,F,Italy,Free,14,Tablet,Rater
SF_1187,29,F,Italy,Subscriber,254,Tablet,Rater
SF_1188,58,M,India,Subscriber,119,Tablet,Rater
SF_1189,45,M,USA,Free,186,Smart TV,Rater
SF_119,18,F,India,Subscriber,461,Mobile,Rater
SF_1190,22,M,USA,Subscriber,472,Tablet,Rater
SF_1193,44,M,UK,Subscriber,132,Smart TV,Rater
SF_1194,37,F,USA,Free,77,Desktop,Rater
SF_1195,64,F,India,Subscriber,158,Tablet,Rater
SF_1196,47,F,India,Free,236,Mobile,Rater
SF_1197,62,M,UK,Free,470,Mobile,Rater
SF_1198,46,M,USA,Subscriber,374,Tablet,Rater
SF_1199,58,M,Italy,Free,376,Mobile,Rater
SF_120,37,M,France,Subscriber,398,Mobile,Rater
SF_1200,34,M,Canada,Subscriber,313,Mobile,Rater
SF_1201,39,M,Italy,Free,64,Smart TV,Rater
SF_1202,16,M,India,Subscriber,411,Tablet,Rater
SF_1203,12,F,USA,Free,130,Mobile,Rater
SF_1206,20,F,USA,Subscriber,325,Mobile,Rater
SF_1207,21,M,UK,Free,496,Tablet,Rater
SF_1209,25,M,Canada,Subscriber,84,Desktop,Rater
SF_121,53,M,UK,Free,325,Mobile,Rater
SF_1211,64,M,France,Free,327,Smart TV,Rater
SF_1212,42,F,India,Free,325,Tablet,Rater
SF_1213,51,M,USA,Free,420,Smart TV,Rater
SF_1214,20,M,Canada,Subscriber,26,Tablet,Rater
SF_1215,31,M,Italy,Free,495,Mobile,Rater
SF_1216,35,M,Italy,Subscriber,476,Desktop,Rater
SF_1217,39,M,Canada,Free,384,Mobile,Rater
SF_1218,20,M,India,Subscriber,286,Tablet,Rater
SF_1219,43,M,Italy,Free,192,Desktop,Rater
SF_122,41,F,UK,Subscriber,92,Tablet,Rater
SF_1220,25,M,UK,Subscriber,494,Mobile,Rater
SF_1222,27,M,UK,Subscriber,39,Desktop,Rater
SF_1223,57,M,USA,Subscriber,355,Desktop,Rater
SF_1224,48,M,UK,Subscriber,143,Mobile,Rater
SF_1225,18,M,Canada,Free,112,Smart TV,Rater
SF_1226,13,M,UK,Free,196,Mobile,Rater
SF_1227,55,M,Canada,Subscriber,334,Desktop,Rater
SF_1228,21,M,Canada,Subscriber,392,Mobile,Rater
SF_1229,29,F,India,Subscriber,251,Tablet,Rater
SF_123,41,M,France,Free,342,Mobile,Rater
SF_1231,60,M,Canada,Free,234,Desktop,Rater
SF_1232,64,F,USA,Subscriber,450,Tablet,Rater
SF_1233,39,F,Canada,Subscriber,500,Desktop,Rater
SF_1234,58,M,Canada,Subscriber,46,Tablet,Rater
SF_1235,38,F,Canada,Free,465,Mobile,Rater
SF_1236,20,F,India,Free,168,Smart TV,Rater
SF_1238,32,F,USA,Free,197,Mobile,Rater
SF_124,40,M,India,Free,327,Mobile,Rater
SF_1240,26,F,France,Subscriber,162,Smart TV,Rater
SF_1241,52,M,Italy,Free,16,Tablet,Rater
SF_1242,16,F,Italy,Subscriber,76,Tablet,Rater
SF_1243,31,M,India,Subscriber,459,Smart TV,Rater
SF_1244,49,M,UK,Subscriber,342,Smart TV,Rater
SF_1245,52,M,USA,Subscriber,90,Mobile,Rater
SF_1246,26,M,UK,Subscriber,244,Smart TV,Rater
SF_1248,59,F,Canada,Subscriber,327,Mobile,Rater
SF_1249,41,M,USA,Subscriber,145,Tablet,Rater
SF_1250,27,M,France,Subscriber,213,Smart TV,Rater
SF_1251,61,M,UK,Subscriber,135,Desktop,Rater
SF_1252,61,M,UK,Free,230,Desktop,Rater
SF_1253,51,F,USA,Free,194,Mobile,Rater
SF_1254,41,F,India,Free,347,Tablet,Rater
SF_1255,23,M,France,Subscriber,170,Tablet,Rater
SF_1256,13,M,Canada,Subscriber,41,Smart TV,Rater
SF_1258,60,M,France,Subscriber,67,Desktop,Rater
SF_1259,13,M,USA,Subscriber,192,Desktop,Rater
SF_1260,35,M,UK,Free,450,Tablet,Rater
SF_1261,58,M,Canada,Subscriber,188,Desktop,Rater
SF_1262,32,M,Canada,Free,339,Mobile,Rater
SF_1263,32,M,Italy,Subscriber,89,Mobile,Rater
SF_1264,55,M,India,Free,77,Tablet,Rater
SF_1265,57,F,India,Free,96,Desktop,Rater
SF_1266,41,M,India,Free,63,Mobile,Rater
SF_1268,37,M,France,Subscriber,171,Mobile,Rater
SF_1269,21,F,France,Subscriber,484,Smart TV,Rater
SF_127,60,F,USA,Free,32,Mobile,Rater
SF_1270,30,M,USA,Subscriber,343,Tablet,Rater
SF_1271,61,F,France,Free,158,Desktop,Rater
SF_1272,26,M,UK,Free,130,Mobile,Rater
SF_1273,63,M,USA,Free,164,Tablet,Rater
SF_1274,12,M,USA,Subscriber,195,Mobile,Rater
SF_1275,39,M,Canada,Free,335,Tablet,Rater
SF_1276,31,M,Canada,Free,275,Mobile,Rater
SF_1278,19,M,Italy,Subscriber,54,Desktop,Rater
SF_1279,15,M,India,Free,135,Tablet,Rater
SF_1280,50,M,UK,Subscriber,172,Tablet,Rater
SF_1281,36,M,Canada,Free,237,Mobile,Rater
SF_1282,33,M,France,Free,425,Mobile,Rater
SF_1283,49,F,France,Subscriber,355,Smart TV,Rater
SF_1284,14,M,UK,Subscriber,374,Smart TV,Rater
SF_1285,52,M,Italy,Subscriber,300,Smart TV,Rater
SF_1286,50,M,France,Free,369,Desktop,Rater
SF_1287,55,F,France,Subscriber,88,Desktop,Rater
SF_1290,36,M,Canada,Free,469,Mobile,Rater
SF_1291,42,F,USA,Subscriber,187,Tablet,Rater
SF_1292,13,M,India,Subscriber,331,Mobile,Rater
SF_1293,53,M,UK,Subscriber,418,Tablet,Rater
SF_1294,29,F,France,Free,272,Desktop,Rater
SF_1295,51,F,Italy,Free,33,Smart TV,Rater
SF_1296,19,M,India,Free,497,Smart TV,Rater
SF_1297,30,M,USA,Free,386,Tablet,Rater
SF_1298,43,M,UK,Subscriber,71,Mobile,Rater
SF_1299,24,M,USA,Free,266,Desktop,Rater
SF_13,13,M,France,Free,347,Desktop,Rater
SF_130,40,M,Canada,Free,126,Desktop,Rater
SF_1301,26,F,France,Subscriber,421,Mobile,Rater
SF_1302,24,M,Canada,Subscriber,103,Tablet,Rater
SF_1303,26,M,Canada,Free,138,Desktop,Rater
SF_1304,37,M,Canada,Free,151,Smart TV,Rater
SF_1306,33,M,UK,Free,438,Mobile,Rater
SF_1307,27,M,Canada,Free,172,Mobile,Rater
SF_1308,45,M,Canada,Subscriber,462,Smart TV,Rater
SF_1309,22,M,Canada,Subscriber,216,Smart TV,Rater
SF_131,56,M,India,Subscriber,454,Mobile,Rater
SF_1310,48,M,India,Free,300,Smart TV,Rater
SF_1311,22,M,Canada,Free,50,Mobile,Rater
SF_1312,13,M,India,Free,318,Tablet,Rater
SF_1314,54,F,UK,Subscriber,374,Smart TV,Rater
SF_1316,27,M,France,Free,64,Mobile,Rater
SF_1317,20,M,Italy,Free,114,Mobile,Rater
SF_1319,10,F,Canada,Subscriber,109,Tablet,Rater
SF_132,63,M,India,Free,360,Smart TV,Rater
SF_1320,24,M,Canada,Free,44,Mobile,Rater
SF_1321,36,F,India,Free,366,Tablet,Rater
SF_1322,10,M,Canada,Subscriber,396,Desktop,Rater
SF_1323,54,F,India,Subscriber,260,Smart TV,Rater
SF_1325,55,M,Canada,Free,348,Desktop,Rater
SF_1326,59,F,France,Free,355,Tablet,Rater
SF_1327,26,M,India,Subscriber,226,Tablet,Rater
SF_133,24,F,USA,Subscriber,186,Tablet,Rater
SF_1330,41,M,India,Free,306,Tablet,Rater
SF_1331,19,M,USA,Subscriber,110,Desktop,Rater
SF_1333,11,M,France,Subscriber,175,Desktop,Rater
SF_1335,37,M,Italy,Free,445,Smart TV,Rater
SF_1336,40,F,USA,Subscriber,361,Desktop,Rater
SF_1337,46,M,UK,Free,54,Desktop,Rater
SF_1339,62,M,Italy,Free,120,Tablet,Rater
SF_134,50,M,Italy,Subscriber,135,Mobile,Rater
SF_1340,26,M,Italy,Subscriber,338,Mobile,Rater
SF_1341,58,M,India,Subscriber,117,Mobile,Rater
SF_1342,55,M,UK,Subscriber,90,Tablet,Rater
SF_1343,19,M,India,Free,39,Desktop,Rater
SF_1344,43,F,Canada,Free,121,Desktop,Rater
SF_1345,57,F,India,Subscriber,341,Desktop,Rater
SF_1346,11,M,India,Subscriber,224,Desktop,Rater
SF_1348,45,F,France,Subscriber,24,Smart TV,Rater
SF_1350,65,F,USA,Free,367,Desktop,Rater
SF_1353,41,M,India,Subscriber,222,Mobile,Rater
SF_1356,21,F,Canada,Subscriber,167,Smart TV,Rater
SF_1357,51,M,Italy,Subscriber,173,Smart TV,Rater
SF_1359,30,M,Italy,Free,319,Tablet,Rater
SF_136,37,M,Canada,Free,140,Desktop,Rater
SF_1360,60,M,UK,Subscriber,459,Smart TV,Rater
SF_1361,46,F,Italy,Subscriber,397,Tablet,Rater
SF_1362,37,M,Italy,Subscriber,136,Smart TV,Rater
SF_1363,28,M,UK,Free,493,Desktop,Rater
SF_1364,49,F,India,Free,76,Desktop,Rater
SF_1365,21,F,France,Subscriber,80,Desktop,Rater
SF_1366,21,M,Italy,Subscriber,213,Mobile,Rater
SF_1368,35,F,France,Free,75,Desktop,Rater
SF_137,27,F,UK,Free,420,Mobile,Rater
SF_1370,44,M,India,Subscriber,330,Mobile,Rater
SF_1371,59,F,France,Subscriber,52,Mobile,Rater
SF_1372,64,M,Canada,Free,180,Smart TV,Rater
SF_1374,48,M,Canada,Free,350,Smart TV,Rater
SF_1376,36,F,USA,Free,14,Tablet,Rater
SF_1377,36,M,France,Free,57,Mobile,Rater
SF_1378,38,F,India,Free,240,Mobile,Rater
SF_1379,33,F,Canada,Free,188,Desktop,Rater
SF_1380,38,M,Italy,Free,498,Smart TV,Rater
SF_1381,18,M,France,Subscriber,405,Mobile,Rater
SF_1382,25,F,USA,Subscriber,257,Tablet,Rater
SF_1383,44,F,France,Subscriber,365,Desktop,Rater
SF_1385,19,F,USA,Subscriber,180,Mobile,Rater
SF_1386,19,F,Italy,Free,245,Tablet,Rater
SF_1387,10,F,France,Free,73,Tablet,Rater
SF_1388,15,M,France,Subscriber,364,Mobile,Rater
SF_1389,18,M,Canada,Free,139,Tablet,Rater
SF_139,62,F,UK,Free,210,Desktop,Rater
SF_1391,23,M,France,Free,248,Desktop,Rater
SF_1392,43,M,USA,Subscriber,213,Desktop,Rater
SF_1393,25,M,India,Subscriber,370,Smart TV,Rater
SF_1394,59,F,Canada,Free,126,Desktop,Rater
SF_1395,46,M,USA,Free,113,Smart TV,Rater
SF_1397,64,M,Italy,Subscriber,66,Smart TV,Rater
SF_1398,29,F,Canada,Subscriber,385,Tablet,Rater
SF_1399,57,M,India,Free,373,Tablet,Rater
SF_140,25,F,Canada,Subscriber,466,Tablet,Rater
SF_1400,57,M,Italy,Subscriber,381,Desktop,Rater
SF_1403,43,F,France,Free,209,Mobile,Rater
SF_1404,26,M,USA,Free,368,Smart TV,Rater
SF_1405,45,M,UK,Free,306,Tablet,Rater
SF_1406,57,M,Canada,Free,131,Desktop,Rater
SF_1407,34,F,USA,Subscriber,94,Mobile,Rater
SF_1408,65,M,UK,Free,254,Desktop,Rater
SF_1409,46,M,UK,Free,414,Smart TV,Rater
SF_141,42,M,India,Free,368,Tablet,Rater
SF_1410,61,M,USA,Subscriber,117,Tablet,Rater
SF_1412,27,M,UK,Subscriber,29,Mobile,Rater
SF_1413,48,M,Canada,Subscriber,43,Desktop,Rater
SF_1414,32,M,UK,Free,468,Mobile,Rater
SF_1415,56,M,USA,Free,190,Tablet,Rater
SF_1416,64,M,Italy,Free,456,Smart TV,Rater
SF_1418,37,M,UK,Subscriber,389,Tablet,Rater
SF_1419,10,F,USA,Subscriber,226,Tablet,Rater
SF_142,58,M,India,Subscriber,122,Smart TV,Rater
SF_1421,18,F,USA,Subscriber,377,Smart TV,Rater
SF_1422,22,M,Canada,Subscriber,27,Smart TV,Rater
SF_1423,34,M,India,Subscriber,332,Smart TV,Rater
SF_1424,18,M,France,Subscriber,496,Smart TV,Rater
SF_1426,23,M,India,Free,150,Smart TV,Rater
SF_1427,12,M,UK,Subscriber,414,Desktop,Rater
SF_1428,14,F,India,Subscriber,56,Desktop,Rater
SF_143,26,M,France,Free,259,Desktop,Rater
SF_1430,54,M,USA,Free,94,Tablet,Rater
SF_1431,13,M,Canada,Free,235,Mobile,Rater
SF_1432,36,M,Canada,Free,33,Smart TV,Rater
SF_1433,40,F,USA,Subscriber,393,Mobile,Rater
SF_1434,62,F,France,Subscriber,485,Tablet,Rater
SF_1435,44,M,Italy,Subscriber,248,Smart TV,Rater
SF_1436,54,F,UK,Free,52,Smart TV,Rater
SF_1437,57,M,France,Free,318,Mobile,Rater
SF_1438,18,M,USA,Subscriber,325,Smart TV,Rater
SF_1439,40,M,France,Subscriber,399,Desktop,Rater
SF_144,15,M,USA,Subscriber,465,Tablet,Rater
SF_1440,12,M,Canada,Free,99,Mobile,Rater
SF_1441,34,M,France,Free,204,Mobile,Rater
SF_1442,25,M,USA,Free,91,Desktop,Rater
SF_1443,38,M,Canada,Subscriber,351,Desktop,Rater
SF_1444,11,F,UK,Subscriber,115,Smart TV,Rater
SF_1445,34,M,Canada,Subscriber,341,Desktop,Rater
SF_1446,55,M,India,Subscriber,428,Tablet,Rater
SF_1447,45,M,USA,Free,106,Mobile,Rater
SF_1448,20,F,Italy,Free,425,Smart TV,Rater
SF_1449,44,M,France,Subscriber,252,Smart TV,Rater
SF_145,62,M,France,Subscriber,238,Mobile,Rater
SF_1450,34,M,UK,Subscriber,381,Smart TV,Rater
SF_1451,20,M,Canada,Free,124,Mobile,Rater
SF_1452,20,F,Italy,Free,388,Smart TV,Rater
SF_1453,61,M,Italy,Free,304,Tablet,Rater
SF_1454,21,M,India,Subscriber,208,Mobile,Rater
SF_1455,37,F,Italy,Free,423,Tablet,Rater
SF_1456,65,M,Canada,Subscriber,460,Tablet,Rater
SF_1457,10,M,Italy,Subscriber,456,Tablet,Rater
SF_1458,58,M,India,Free,55,Tablet,Rater
SF_1459,32,F,India,Subscriber,333,Smart TV,Rater
SF_146,45,F,Italy,Subscriber,430,Mobile,Rater
SF_1460,60,F,USA,Subscriber,278,Mobile,Rater
SF_1462,34,M,Italy,Subscriber,392,Desktop,Rater
SF_1464,62,M,Canada,Free,345,Desktop,Rater
SF_1466,15,M,India,Free,123,Smart TV,Rater
SF_1467,26,M,UK,Free,456,Mobile,Rater
SF_1468,30,M,Italy,Free,199,Smart TV,Rater
SF_1469,10,M,France,Free,192,Tablet,Rater
SF_1470,47,M,Canada,Subscriber,413,Smart TV,Rater
SF_1472,50,M,USA,Subscriber,221,Tablet,Rater
SF_1473,31,M,UK,Subscriber,419,Mobile,Rater
SF_1474,37,M,UK,Subscriber,307,Mobile,Rater
SF_1475,45,F,UK,Subscriber,432,Smart TV,Rater
SF_1477,26,F,France,Subscriber,361,Mobile,Rater
SF_1478,39,M,India,Subscriber,368,Tablet,Rater
SF_1479,57,F,India,Subscriber,200,Smart TV,Rater
SF_148,29,M,France,Free,112,Desktop,Rater
SF_1480,59,M,Italy,Subscriber,213,Smart TV,Rater
SF_1481,31,M,Italy,Subscriber,267,Tablet,Rater
SF_1482,14,M,USA,Subscriber,85,Smart TV,Rater
SF_1483,21,M,France,Free,395,Smart TV,Rater
SF_1484,9,M,Italy,Free,254,Smart TV,Rater
SF_1485,54,F,India,Subscriber,384,Tablet,Rater
SF_1486,65,M,UK,Subscriber,257,Desktop,Rater
SF_1487,36,M,India,Free,43,Mobile,Rater
SF_1488,37,M,Canada,Free,66,Tablet,Rater
SF_1489,29,F,India,Free,480,Smart TV,Rater
SF_1490,65,M,France,Free,213,Smart TV,Rater
SF_1491,53,M,Italy,Free,179,Desktop,Rater
SF_1492,24,M,Canada,Free,65,Mobile,Rater
SF_1493,56,F,Canada,Subscriber,467,Desktop,Rater
SF_1494,61,M,Italy,Free,174,Smart TV,Rater
SF_1495,20,M,Italy,Subscriber,307,Desktop,Rater
SF_1496,58,M,France,Free,253,Smart TV,Rater
SF_1497,60,M,Canada,Subscriber,499,Tablet,Rater
SF_1498,61,M,Italy,Free,151,Desktop,Rater
SF_1499,53,M,Italy,Free,86,Mobile,Rater
SF_15,37,M,France,Free,459,Mobile,Rater
SF_150,33,M,India,Free,315,Tablet,Rater
SF_1500,38,M,India,Free,81,Tablet,Rater
SF_1501,52,M,UK,Free,182,Smart TV,Rater
SF_1502,49,M,France,Free,135,Smart TV,Rater
SF_1503,24,M,Canada,Free,337,Mobile,Rater
SF_1504,54,M,Italy,Subscriber,249,Tablet,Rater
SF_1506,33,M,France,Free,216,Mobile,Rater
SF_1507,61,M,India,Subscriber,473,Smart TV,Rater
SF_1508,58,F,India,Subscriber,455,Tablet,Rater
SF_1509,51,M,Canada,Subscriber,394,Smart TV,Rater
SF_151,25,F,France,Free,116,Tablet,Rater
SF_1510,58,F,India,Free,218,Smart TV,Rater
SF_1511,55,M,France,Free,193,Smart TV,Rater
SF_1513,20,F,France,Free,492,Tablet,Rater
SF_1514,41,M,India,Subscriber,11,Desktop,Rater
SF_1515,29,M,Canada,Subscriber,264,Tablet,Rater
SF_1516,14,F,India,Subscriber,323,Mobile,Rater
SF_1518,44,M,France,Subscriber,464,Mobile,Rater
SF_152,54,M,Italy,Subscriber,138,Smart TV,Rater
SF_1520,34,M,France,Free,61,Smart TV,Rater
SF_1521,25,F,Italy,Subscriber,219,Tablet,Rater
SF_1522,41,M,UK,Subscriber,382,Mobile,Rater
SF_1524,12,M,Italy,Free,68,Mobile,Rater
SF_1525,65,F,USA,Free,276,Mobile,Rater
SF_1527,12,M,France,Free,394,Tablet,Rater
SF_1528,44,M,Canada,Subscriber,82,Mobile,Rater
SF_1529,25,M,India,Free,205,Tablet,Rater
SF_153,54,M,Italy,Free,458,Mobile,Rater
SF_1530,11,M,India,Subscriber,39,Desktop,Rater
SF_1531,10,M,USA,Subscriber,108,Mobile,Rater
SF_1532,16,M,India,Subscriber,77,Smart TV,Rater
SF_1534,52,M,Italy,Free,337,Smart TV,Rater
SF_1535,55,F,USA,Free,124,Mobile,Rater
SF_1539,63,M,UK,Subscriber,16,Smart TV,Rater
SF_154,49,M,Canada,Subscriber,344,Desktop,Rater
SF_1540,27,M,Canada,Free,309,Desktop,Rater
SF_1542,41,M,USA,Subscriber,111,Desktop,Rater
SF_1544,16,M,Canada,Free,218,Smart TV,Rater
SF_1545,19,M,India,Free,56,Desktop,Rater
SF_1546,43,M,UK,Free,180,Tablet,Rater
